[[0, 30, 268.80823], [1, 59970, 282.4666], [2, 119910, 283.71365], [3, 179850, 284.6616], [4, 239790, 284.97134], [5, 299730, 285.11064], [6, 359670, 285.19831], [7, 419610, 285.41579], [8, 479550, 285.4294], [9, 539490, 285.4294], [10, 599430, 285.47546], [11, 659370, 285.47546], [12, 719310, 285.47546], [13, 779250, 285.47546], [14, 839190, 285.47546], [15, 899130, 285.49396], [16, 959070, 285.49396], [17, 1019010, 285.58011]]
[[0, 30, 268.57481], [1, 59970, 282.47496], [2, 119910, 284.23285], [3, 179850, 284.49638], [4, 239790, 284.91748], [5, 299730, 284.9296], [6, 359670, 285.50474], [7, 419610, 285.5696], [8, 479550, 285.5696], [9, 539490, 285.5696], [10, 599430, 285.67657], [11, 659370, 285.67657], [12, 719310, 285.7302], [13, 779250, 285.80544], [14, 839190, 285.80544], [15, 899130, 285.80544], [16, 959070, 285.80544], [17, 1019010, 285.80544]]
[[0, 30, 270.63377], [1, 59970, 282.07644], [2, 119910, 284.39179], [3, 179850, 284.76525], [4, 239790, 285.12594], [5, 299730, 285.1926], [6, 359670, 285.33618], [7, 419610, 285.34756], [8, 479550, 285.34756], [9, 539490, 285.34756], [10, 599430, 285.34756], [11, 659370, 285.34756], [12, 719310, 285.34756], [13, 779250, 285.34756], [14, 839190, 285.34756], [15, 899130, 285.34756], [16, 959070, 285.34756], [17, 1019010, 285.34756]]
[[0, 30, 269.07698], [1, 59970, 282.91023], [2, 119910, 284.45543], [3, 179850, 284.89814], [4, 239790, 285.03801], [5, 299730, 285.12599], [6, 359670, 285.22266], [7, 419610, 285.22266], [8, 479550, 285.22266], [9, 539490, 285.2478], [10, 599430, 285.2478], [11, 659370, 285.2478], [12, 719310, 285.2478], [13, 779250, 285.43064], [14, 839190, 285.43064], [15, 899130, 285.43064], [16, 959070, 285.43064], [17, 1019010, 285.46225]]
[[0, 30, 269.10269], [1, 59970, 282.62862], [2, 119910, 284.29562], [3, 179850, 285.07843], [4, 239790, 285.16311], [5, 299730, 285.60876], [6, 359670, 285.60876], [7, 419610, 285.60876], [8, 479550, 285.60876], [9, 539490, 285.60876], [10, 599430, 285.60876], [11, 659370, 285.60876], [12, 719310, 285.60876], [13, 779250, 285.60876], [14, 839190, 285.60876], [15, 899130, 285.60876], [16, 959070, 285.60876], [17, 1019010, 285.61873]]
[[0, 30, 268.89077], [1, 59970, 282.51532], [2, 119910, 284.61072], [3, 179850, 284.9689], [4, 239790, 285.1236], [5, 299730, 285.1236], [6, 359670, 285.42605], [7, 419610, 285.42605], [8, 479550, 285.42605], [9, 539490, 285.42605], [10, 599430, 285.46709], [11, 659370, 285.46709], [12, 719310, 285.46709], [13, 779250, 285.46709], [14, 839190, 285.46709], [15, 899130, 285.46709], [16, 959070, 285.46709], [17, 1019010, 285.46709]]
[[0, 30, 268.36536], [1, 59970, 283.00367], [2, 119910, 285.08558], [3, 179850, 285.32457], [4, 239790, 285.44734], [5, 299730, 285.46095], [6, 359670, 285.63848], [7, 419610, 285.63848], [8, 479550, 285.64504], [9, 539490, 285.64504], [10, 599430, 285.65447], [11, 659370, 285.68079], [12, 719310, 285.68079], [13, 779250, 285.68079], [14, 839190, 285.68079], [15, 899130, 285.68079], [16, 959070, 285.68079], [17, 1019010, 285.68079]]
[[0, 30, 269.24543], [1, 59970, 282.44076], [2, 119910, 283.96936], [3, 179850, 284.55891], [4, 239790, 284.79348], [5, 299730, 284.85356], [6, 359670, 284.85356], [7, 419610, 284.85356], [8, 479550, 285.30637], [9, 539490, 285.30637], [10, 599430, 285.30637], [11, 659370, 285.30637], [12, 719310, 285.32932], [13, 779250, 285.32932], [14, 839190, 285.32932], [15, 899130, 285.32932], [16, 959070, 285.38416], [17, 1019010, 285.38416]]
[[0, 30, 269.4774], [1, 59970, 282.50735], [2, 119910, 283.99714], [3, 179850, 284.91497], [4, 239790, 285.32806], [5, 299730, 285.40965], [6, 359670, 285.55977], [7, 419610, 285.77851], [8, 479550, 285.77851], [9, 539490, 285.77851], [10, 599430, 285.85375], [11, 659370, 285.85375], [12, 719310, 285.85375], [13, 779250, 285.85375], [14, 839190, 285.85375], [15, 899130, 285.85375], [16, 959070, 285.86158], [17, 1019010, 285.89821]]
[[0, 30, 268.59053], [1, 59970, 282.45799], [2, 119910, 284.38569], [3, 179850, 285.09457], [4, 239790, 285.23046], [5, 299730, 285.23046], [6, 359670, 285.2868], [7, 419610, 285.48512], [8, 479550, 285.48512], [9, 539490, 285.48512], [10, 599430, 285.48512], [11, 659370, 285.59953], [12, 719310, 285.62415], [13, 779250, 285.62415], [14, 839190, 285.62415], [15, 899130, 285.62415], [16, 959070, 285.62415], [17, 1019010, 285.62415]]
[[0, 30, 268.7455], [1, 59970, 282.71247], [2, 119910, 284.02599], [3, 179850, 284.98601], [4, 239790, 285.07641], [5, 299730, 285.1579], [6, 359670, 285.32858], [7, 419610, 285.32858], [8, 479550, 285.32858], [9, 539490, 285.32858], [10, 599430, 285.32858], [11, 659370, 285.32858], [12, 719310, 285.32858], [13, 779250, 285.46725], [14, 839190, 285.46725], [15, 899130, 285.46725], [16, 959070, 285.46725], [17, 1019010, 285.46725]]
