[[0, 30, 218.78146], [1, 59970, 238.9468], [2, 119910, 244.7279], [3, 179850, 244.90424], [4, 239790, 244.90424], [5, 299730, 244.90424], [6, 359670, 244.90424], [7, 419610, 244.90424], [8, 479550, 244.90424], [9, 539490, 244.90424], [10, 599430, 244.90424], [11, 659370, 244.90424], [12, 719310, 244.90424], [13, 779250, 244.90424], [14, 839190, 245.6526], [15, 899130, 245.6526], [16, 959070, 245.87136], [17, 1019010, 245.87136]]
[[0, 30, 220.49787], [1, 59970, 240.57142], [2, 119910, 245.39583], [3, 179850, 245.39583], [4, 239790, 245.39583], [5, 299730, 246.27179], [6, 359670, 246.27179], [7, 419610, 247.70591], [8, 479550, 247.70591], [9, 539490, 247.70591], [10, 599430, 247.70591], [11, 659370, 247.70591], [12, 719310, 247.70591], [13, 779250, 249.07833], [14, 839190, 249.07833], [15, 899130, 249.07833], [16, 959070, 249.07833], [17, 1019010, 249.07833]]
[[0, 30, 220.05982], [1, 59970, 238.99328], [2, 119910, 242.4632], [3, 179850, 245.90282], [4, 239790, 245.90282], [5, 299730, 246.08224], [6, 359670, 246.08224], [7, 419610, 246.08224], [8, 479550, 246.08224], [9, 539490, 246.08224], [10, 599430, 246.08224], [11, 659370, 246.08224], [12, 719310, 246.08224], [13, 779250, 246.08224], [14, 839190, 246.08224], [15, 899130, 246.08224], [16, 959070, 246.08224], [17, 1019010, 246.08224]]
[[0, 30, 217.06746], [1, 59970, 243.17325], [2, 119910, 245.79491], [3, 179850, 245.87007], [4, 239790, 247.857], [5, 299730, 247.857], [6, 359670, 247.857], [7, 419610, 247.857], [8, 479550, 247.88315], [9, 539490, 247.88315], [10, 599430, 247.9895], [11, 659370, 248.95968], [12, 719310, 248.95968], [13, 779250, 248.95968], [14, 839190, 249.06603], [15, 899130, 249.06603], [16, 959070, 249.06603], [17, 1019010, 249.06603]]
[[0, 30, 214.53449], [1, 59970, 238.88734], [2, 119910, 242.1164], [3, 179850, 242.4084], [4, 239790, 244.21212], [5, 299730, 244.47983], [6, 359670, 245.1315], [7, 419610, 245.1315], [8, 479550, 245.1315], [9, 539490, 245.1315], [10, 599430, 245.1315], [11, 659370, 245.1315], [12, 719310, 245.1315], [13, 779250, 245.1315], [14, 839190, 245.26345], [15, 899130, 245.26345], [16, 959070, 245.26345], [17, 1019010, 245.26345]]
[[0, 30, 217.27764], [1, 59970, 240.7167], [2, 119910, 243.97157], [3, 179850, 246.23808], [4, 239790, 246.23808], [5, 299730, 246.23808], [6, 359670, 246.23808], [7, 419610, 246.23808], [8, 479550, 246.88503], [9, 539490, 248.00023], [10, 599430, 248.00023], [11, 659370, 248.00023], [12, 719310, 248.31146], [13, 779250, 250.2625], [14, 839190, 250.2625], [15, 899130, 250.2625], [16, 959070, 250.2625], [17, 1019010, 250.2625]]
[[0, 30, 227.57189], [1, 59970, 239.31502], [2, 119910, 243.36088], [3, 179850, 243.36761], [4, 239790, 243.36761], [5, 299730, 243.36761], [6, 359670, 245.31366], [7, 419610, 245.31366], [8, 479550, 245.31366], [9, 539490, 245.31366], [10, 599430, 245.32496], [11, 659370, 245.32496], [12, 719310, 245.32496], [13, 779250, 245.32496], [14, 839190, 245.32496], [15, 899130, 245.32496], [16, 959070, 245.32496], [17, 1019010, 245.32496]]
[[0, 30, 214.8598], [1, 59970, 238.87202], [2, 119910, 244.17515], [3, 179850, 245.57375], [4, 239790, 247.6859], [5, 299730, 247.6859], [6, 359670, 247.6859], [7, 419610, 248.05252], [8, 479550, 249.13742], [9, 539490, 249.13742], [10, 599430, 249.13742], [11, 659370, 249.13742], [12, 719310, 249.13742], [13, 779250, 249.13742], [14, 839190, 249.13742], [15, 899130, 249.13742], [16, 959070, 249.13742], [17, 1019010, 249.13742]]
[[0, 30, 220.08148], [1, 59970, 241.52469], [2, 119910, 242.01836], [3, 179850, 243.43265], [4, 239790, 245.29028], [5, 299730, 246.43348], [6, 359670, 246.48327], [7, 419610, 247.12676], [8, 479550, 247.41031], [9, 539490, 247.41031], [10, 599430, 247.41031], [11, 659370, 247.41031], [12, 719310, 247.41031], [13, 779250, 247.41031], [14, 839190, 247.41031], [15, 899130, 247.41031], [16, 959070, 247.41031], [17, 1019010, 247.77784]]
[[0, 30, 219.66202], [1, 59970, 242.88317], [2, 119910, 245.01257], [3, 179850, 245.71555], [4, 239790, 245.79579], [5, 299730, 245.79579], [6, 359670, 245.79579], [7, 419610, 245.81564], [8, 479550, 247.88941], [9, 539490, 248.55742], [10, 599430, 248.55742], [11, 659370, 248.57155], [12, 719310, 248.57155], [13, 779250, 248.57155], [14, 839190, 248.57155], [15, 899130, 248.57155], [16, 959070, 248.57155], [17, 1019010, 248.57155]]
[[0, 30, 212.49472], [1, 59970, 240.42216], [2, 119910, 243.25879], [3, 179850, 243.37139], [4, 239790, 243.98058], [5, 299730, 244.27759], [6, 359670, 244.27759], [7, 419610, 244.27759], [8, 479550, 244.27759], [9, 539490, 244.27759], [10, 599430, 244.27759], [11, 659370, 244.27759], [12, 719310, 244.27759], [13, 779250, 244.27759], [14, 839190, 244.27759], [15, 899130, 244.27759], [16, 959070, 244.27759], [17, 1019010, 244.27759]]
