[[0, 50, 55383.5008], [1, 29950, 67403.033], [2, 59850, 68176.124], [3, 89750, 68868.186], [4, 119650, 68868.186], [5, 149550, 68868.186], [6, 179450, 68868.186], [7, 209350, 68868.186], [8, 239250, 68868.186], [9, 269150, 68868.186], [10, 299050, 68868.186], [11, 328950, 68868.186], [12, 358850, 68868.186], [13, 388750, 68868.186], [14, 418650, 68868.186], [15, 448550, 68868.186], [16, 478450, 68868.186], [17, 508350, 68868.186], [18, 538250, 68868.186], [19, 568150, 68868.186], [20, 598050, 68868.186], [21, 627950, 68868.186], [22, 657850, 68868.186], [23, 687750, 68868.186], [24, 717650, 68868.186], [25, 747550, 68868.186], [26, 777450, 68868.186], [27, 807350, 68868.186], [28, 837250, 68868.186], [29, 867150, 68868.186], [30, 897050, 68868.186], [31, 926950, 68875.9426], [32, 956850, 68875.9426], [33, 986750, 68875.9426], [34, 1016650, 68875.9426]]
[[0, 50, 52854.6807], [1, 29950, 66657.7722], [2, 59850, 70868.2726], [3, 89750, 71670.71], [4, 119650, 72023.118], [5, 149550, 72023.118], [6, 179450, 72023.118], [7, 209350, 72023.118], [8, 239250, 72023.118], [9, 269150, 72023.118], [10, 299050, 72023.118], [11, 328950, 72023.118], [12, 358850, 72023.118], [13, 388750, 72023.118], [14, 418650, 72023.118], [15, 448550, 72023.118], [16, 478450, 72023.118], [17, 508350, 72023.118], [18, 538250, 72023.118], [19, 568150, 72023.118], [20, 598050, 72023.118], [21, 627950, 72023.118], [22, 657850, 72023.118], [23, 687750, 72023.118], [24, 717650, 72023.118], [25, 747550, 72023.118], [26, 777450, 72023.118], [27, 807350, 72023.118], [28, 837250, 72023.118], [29, 867150, 72023.118], [30, 897050, 72023.118], [31, 926950, 72023.118], [32, 956850, 72023.118], [33, 986750, 72023.118], [34, 1016650, 72023.118]]
[[0, 50, 53197.7106], [1, 29950, 67529.1788], [2, 59850, 68222.1126], [3, 89750, 69538.953], [4, 119650, 69538.953], [5, 149550, 69538.953], [6, 179450, 69538.953], [7, 209350, 69538.953], [8, 239250, 69538.953], [9, 269150, 69538.953], [10, 299050, 69538.953], [11, 328950, 69538.953], [12, 358850, 69538.953], [13, 388750, 69538.953], [14, 418650, 69538.953], [15, 448550, 69538.953], [16, 478450, 69538.953], [17, 508350, 69538.953], [18, 538250, 69538.953], [19, 568150, 69538.953], [20, 598050, 69538.953], [21, 627950, 69538.953], [22, 657850, 69538.953], [23, 687750, 69538.953], [24, 717650, 69538.953], [25, 747550, 69538.953], [26, 777450, 69538.953], [27, 807350, 69538.953], [28, 837250, 69538.953], [29, 867150, 69538.953], [30, 897050, 69538.953], [31, 926950, 69538.953], [32, 956850, 69538.953], [33, 986750, 69538.953], [34, 1016650, 69538.953]]
[[0, 50, 52123.0482], [1, 29950, 66612.7463], [2, 59850, 69815.337], [3, 89750, 70161.642], [4, 119650, 70161.642], [5, 149550, 70161.642], [6, 179450, 70438.672], [7, 209350, 70438.672], [8, 239250, 70438.672], [9, 269150, 70438.672], [10, 299050, 70736.7914], [11, 328950, 70736.7914], [12, 358850, 70736.7914], [13, 388750, 70891.0504], [14, 418650, 71548.8976], [15, 448550, 71548.8976], [16, 478450, 71548.8976], [17, 508350, 71548.8976], [18, 538250, 71548.8976], [19, 568150, 71548.8976], [20, 598050, 71548.8976], [21, 627950, 71548.8976], [22, 657850, 71548.8976], [23, 687750, 71548.8976], [24, 717650, 71548.8976], [25, 747550, 71548.8976], [26, 777450, 71548.8976], [27, 807350, 71548.8976], [28, 837250, 71548.8976], [29, 867150, 71548.8976], [30, 897050, 71548.8976], [31, 926950, 71548.8976], [32, 956850, 71548.8976], [33, 986750, 71548.8976], [34, 1016650, 71548.8976]]
[[0, 50, 61459.6704], [1, 29950, 70842.4012], [2, 59850, 71009.731], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476], [7, 209350, 71713.476], [8, 239250, 71713.476], [9, 269150, 71713.476], [10, 299050, 71713.476], [11, 328950, 71713.476], [12, 358850, 71713.476], [13, 388750, 71713.476], [14, 418650, 71713.476], [15, 448550, 71713.476], [16, 478450, 71713.476], [17, 508350, 71713.476], [18, 538250, 71713.476], [19, 568150, 71713.476], [20, 598050, 71713.476], [21, 627950, 71713.476], [22, 657850, 71713.476], [23, 687750, 71713.476], [24, 717650, 71713.476], [25, 747550, 71713.476], [26, 777450, 71713.476], [27, 807350, 71713.476], [28, 837250, 71713.476], [29, 867150, 71713.476], [30, 897050, 71713.476], [31, 926950, 71713.476], [32, 956850, 71713.476], [33, 986750, 71713.476], [34, 1016650, 71713.476]]
[[0, 50, 59496.0027], [1, 29950, 67914.6793], [2, 59850, 69136.8524], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476], [7, 209350, 71713.476], [8, 239250, 71713.476], [9, 269150, 71713.476], [10, 299050, 71713.476], [11, 328950, 71713.476], [12, 358850, 71713.476], [13, 388750, 71713.476], [14, 418650, 71713.476], [15, 448550, 71713.476], [16, 478450, 71713.476], [17, 508350, 71713.476], [18, 538250, 71713.476], [19, 568150, 71713.476], [20, 598050, 71713.476], [21, 627950, 71713.476], [22, 657850, 71713.476], [23, 687750, 71713.476], [24, 717650, 71713.476], [25, 747550, 71713.476], [26, 777450, 71713.476], [27, 807350, 71713.476], [28, 837250, 71713.476], [29, 867150, 71713.476], [30, 897050, 71713.476], [31, 926950, 71713.476], [32, 956850, 71713.476], [33, 986750, 71713.476], [34, 1016650, 71713.476]]
[[0, 50, 56054.3007], [1, 29950, 68812.27], [2, 59850, 71296.137], [3, 89750, 72023.118], [4, 119650, 72023.118], [5, 149550, 72023.118], [6, 179450, 72023.118], [7, 209350, 72023.118], [8, 239250, 72023.118], [9, 269150, 72023.118], [10, 299050, 72023.118], [11, 328950, 72023.118], [12, 358850, 72023.118], [13, 388750, 72023.118], [14, 418650, 72023.118], [15, 448550, 72023.118], [16, 478450, 72023.118], [17, 508350, 72023.118], [18, 538250, 72023.118], [19, 568150, 72023.118], [20, 598050, 72023.118], [21, 627950, 72023.118], [22, 657850, 72023.118], [23, 687750, 72023.118], [24, 717650, 72023.118], [25, 747550, 72023.118], [26, 777450, 72023.118], [27, 807350, 72023.118], [28, 837250, 72023.118], [29, 867150, 72023.118], [30, 897050, 72023.118], [31, 926950, 72023.118], [32, 956850, 72023.118], [33, 986750, 72023.118], [34, 1016650, 72023.118]]
[[0, 50, 53554.6721], [1, 29950, 68642.0693], [2, 59850, 69393.575], [3, 89750, 69538.953], [4, 119650, 69538.953], [5, 149550, 69538.953], [6, 179450, 69538.953], [7, 209350, 69538.953], [8, 239250, 69538.953], [9, 269150, 69538.953], [10, 299050, 69538.953], [11, 328950, 69538.953], [12, 358850, 69538.953], [13, 388750, 69538.953], [14, 418650, 69538.953], [15, 448550, 69538.953], [16, 478450, 69538.953], [17, 508350, 69538.953], [18, 538250, 69538.953], [19, 568150, 69538.953], [20, 598050, 69538.953], [21, 627950, 69538.953], [22, 657850, 69538.953], [23, 687750, 69538.953], [24, 717650, 69538.953], [25, 747550, 69538.953], [26, 777450, 69538.953], [27, 807350, 69538.953], [28, 837250, 69538.953], [29, 867150, 69538.953], [30, 897050, 69538.953], [31, 926950, 69538.953], [32, 956850, 69538.953], [33, 986750, 69538.953], [34, 1016650, 69538.953]]
[[0, 50, 61739.6667], [1, 29950, 68931.7882], [2, 59850, 69802.863], [3, 89750, 70807.249], [4, 119650, 70921.573], [5, 149550, 71713.476], [6, 179450, 71713.476], [7, 209350, 71713.476], [8, 239250, 71713.476], [9, 269150, 71713.476], [10, 299050, 71713.476], [11, 328950, 71713.476], [12, 358850, 71713.476], [13, 388750, 71713.476], [14, 418650, 71713.476], [15, 448550, 71713.476], [16, 478450, 71713.476], [17, 508350, 71713.476], [18, 538250, 71713.476], [19, 568150, 71713.476], [20, 598050, 71713.476], [21, 627950, 71713.476], [22, 657850, 71713.476], [23, 687750, 71713.476], [24, 717650, 71713.476], [25, 747550, 71713.476], [26, 777450, 71713.476], [27, 807350, 71713.476], [28, 837250, 71713.476], [29, 867150, 71713.476], [30, 897050, 71713.476], [31, 926950, 71713.476], [32, 956850, 71713.476], [33, 986750, 71713.476], [34, 1016650, 71713.476]]
[[0, 50, 55664.3655], [1, 29950, 68000.067], [2, 59850, 68397.329], [3, 89750, 69493.7716], [4, 119650, 69649.806], [5, 149550, 69649.806], [6, 179450, 69649.806], [7, 209350, 69649.806], [8, 239250, 69649.806], [9, 269150, 69649.806], [10, 299050, 69649.806], [11, 328950, 69649.806], [12, 358850, 69649.806], [13, 388750, 69649.806], [14, 418650, 69649.806], [15, 448550, 69865.8956], [16, 478450, 69865.8956], [17, 508350, 69865.8956], [18, 538250, 69865.8956], [19, 568150, 69865.8956], [20, 598050, 70203.4], [21, 627950, 70203.4], [22, 657850, 70203.4], [23, 687750, 70203.4], [24, 717650, 70203.4], [25, 747550, 70203.4], [26, 777450, 70203.4], [27, 807350, 70203.4], [28, 837250, 70203.4], [29, 867150, 70203.4], [30, 897050, 70203.4], [31, 926950, 70203.4], [32, 956850, 70203.4], [33, 986750, 70203.4], [34, 1016650, 70203.4]]
[[0, 50, 60631.5891], [1, 29950, 71256.873], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476], [7, 209350, 71713.476], [8, 239250, 71713.476], [9, 269150, 71713.476], [10, 299050, 71713.476], [11, 328950, 71713.476], [12, 358850, 71713.476], [13, 388750, 71713.476], [14, 418650, 71713.476], [15, 448550, 71713.476], [16, 478450, 71713.476], [17, 508350, 71713.476], [18, 538250, 71713.476], [19, 568150, 71713.476], [20, 598050, 71713.476], [21, 627950, 71713.476], [22, 657850, 71713.476], [23, 687750, 71713.476], [24, 717650, 71713.476], [25, 747550, 71713.476], [26, 777450, 71713.476], [27, 807350, 71713.476], [28, 837250, 71713.476], [29, 867150, 71713.476], [30, 897050, 71713.476], [31, 926950, 71713.476], [32, 956850, 71713.476], [33, 986750, 71713.476], [34, 1016650, 71713.476]]
